"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Racomitrium fasciculare","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polychidium muscicola","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Scytinium lichenoides","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,14,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Dauður mosi","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia furcata","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia pocillum","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia pocillum","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Peltigera polydactylon","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Peltigera polydactylon","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R27",2.7,0,1,"Langholt","12. mynd",2023,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2023,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,1,"Innan þynningarsvæðis brennisteins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2023,1,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum piliferum","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2020,23,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,24,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R31",3.2,0,0,"Álfholt","26. mynd",2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R31",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Bartramia ithyphylla","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Bartramia ithyphylla","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2020,35,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2023,47,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium flexipile","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium flexipile","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Tortula subulata","Mosar","R32",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R33",1.4,1,1,"Stekkjarás","7. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Grimmia montana","Mosar","R33",1.4,1,1,"Stekkjarás","7. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"mosi","Mosar","R33",1.4,1,1,"Stekkjarás","7. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"mosi","Mosar","R33",1.4,1,1,"Stekkjarás","7. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Parmelia saxatilis","Blað- og runnfléttur","R33",1.4,1,1,"Stekkjarás","7. mynd",2020,53,"Innan þynningarsvæðis flúors"
"Parmelia saxatilis","Blað- og runnfléttur","R33",1.4,1,1,"Stekkjarás","7. mynd",2023,50,"Innan þynningarsvæðis flúors"
"Ramalina subfarinacea","Blað- og runnfléttur","R33",1.4,1,1,"Stekkjarás","7. mynd",2020,15,"Innan þynningarsvæðis flúors"
"Ramalina subfarinacea","Blað- og runnfléttur","R33",1.4,1,1,"Stekkjarás","7. mynd",2023,17,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R34",1.5,1,1,"Stekkjarás","7. mynd",2020,5,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R34",1.5,1,1,"Stekkjarás","7. mynd",2023,6,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R34",1.5,1,1,"Stekkjarás","7. mynd",2020,2,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R34",1.5,1,1,"Stekkjarás","7. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Sphaerophorus fragilis","Blað- og runnfléttur","R34",1.5,1,1,"Stekkjarás","7. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R34",1.5,1,1,"Stekkjarás","7. mynd",2020,25,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R34",1.5,1,1,"Stekkjarás","7. mynd",2023,21,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,1,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R35",1.5,1,1,"Stekkjarás","7. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Racomitrium heterostichum","Mosar","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,1,"Innan þynningarsvæðis flúors"
"Racomitrium sudeticum","Mosar","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,12,"Innan þynningarsvæðis flúors"
"Racomitrium sudeticum","Mosar","R35",1.5,1,1,"Stekkjarás","7. mynd",2023,17,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R35",1.5,1,1,"Stekkjarás","7. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Umbilicaria cylindrica","Blað- og runnfléttur","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,10,"Innan þynningarsvæðis flúors"
"Umbilicaria cylindrica","Blað- og runnfléttur","R35",1.5,1,1,"Stekkjarás","7. mynd",2023,17,"Innan þynningarsvæðis flúors"
"Umbilicaria proboscidea","Blað- og runnfléttur","R35",1.5,1,1,"Stekkjarás","7. mynd",2020,0.1,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2020,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R36",3,0,0,"Kalmansá","20. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R36",3,0,0,"Kalmansá","20. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R36",3,0,0,"Kalmansá","20. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2020,16,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2023,24,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R37",3,0,0,"Kalmansá","20. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R38",3,0,0,"Kalmansá","20. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R38",3,0,0,"Kalmansá","20. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R38",3,0,0,"Kalmansá","20. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R39",5.7,0,0,"Beitistaðaholt","27. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R39",5.7,0,0,"Beitistaðaholt","27. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R39",5.7,0,0,"Beitistaðaholt","27. mynd",2020,73,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R39",5.7,0,0,"Beitistaðaholt","27. mynd",2023,75,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,24,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,20,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Ephebe lanata","Blað- og runnfléttur","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2020,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R40",5.7,0,0,"Beitistaðaholt","27. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R41",5.7,0,0,"Beitistaðaholt","27. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R41",5.7,0,0,"Beitistaðaholt","27. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R41",5.7,0,0,"Beitistaðaholt","27. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R41",5.7,0,0,"Beitistaðaholt","27. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
